Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
DNASE1,Tissue enhanced,Detected in many,,intestine: 116.1;pancreas: 149.5,Kidney - Ascending Loop of Henle cells
DNASE1L1,Tissue enhanced,Detected in all,,skeletal muscle: 141.8,Heart muscle - Cardiomyocytes
DNASE1L2,Group enriched,Detected in many,5,brain: 16.4;skin 1: 44.4,
DNASE1L3,Group enriched,Detected in many,6,liver: 262.8;lymphoid tissue: 256.5,Liver - Sinusoid Endothelial cells
DNASE2B,Tissue enriched,Detected in some,25,salivary gland: 165.3,"Lung - Macrophages, Testis - Early spermatids"
DND1,Group enriched,Detected in some,6,brain: 3.0;testis: 11.8,
DNER,Tissue enhanced,Detected in many,,adrenal gland: 70.7;brain: 128.1;choroid plexus: 148.9,"Lung - Respiratory ciliated cells, Skin - Eccrine sweat gland cells, Thyroid - Parafollicular cells"
DNHD1,Tissue enhanced,Detected in many,,testis: 10.0,Testis - Early spermatids
DNM1,Tissue enriched,Detected in all,5,brain: 366.1,"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Thyroid - Fibroblasts"
DNM3,Tissue enhanced,Detected in many,,brain: 42.1,"Adipose subcutaneous - Endothelial cells, Thyroid - Fibroblasts"
DNMT3B,Tissue enhanced,Detected in many,,pancreas: 5.8;testis: 5.7,
DNMT3L,Tissue enhanced,Detected in single,,liver: 1.9,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Spermatogonia"
DNTT,Tissue enriched,Detected in some,12,lymphoid tissue: 320.5,"Testis - Early spermatids, Testis - Late spermatids"
DOC2A,Group enriched,Detected in many,4,brain: 95.1;testis: 36.7,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DOC2B,Tissue enhanced,Detected in many,,brain: 55.1;retina: 40.7,"Breast - Endothelial cells, Heart muscle - Endothelial cells, Liver - Vascular Endothelial cells, Skeletal muscle - Endothelial cells"
DOCK10,Tissue enhanced,Detected in all,,brain: 51.5;lymphoid tissue: 36.1,"Lung - T-cells, Thyroid - T-cells"
DOCK11,Tissue enhanced,Detected in all,,adipose tissue: 52.6,"Adipose subcutaneous - Adipocytes (Subcutaneous), Breast - Adipocytes (Breast)"
DOCK2,Group enriched,Detected in many,4,bone marrow: 52.5;lung: 15.1;lymphoid tissue: 48.9,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Skeletal muscle - Macrophages"
DOCK3,Tissue enhanced,Detected in many,,brain: 23.4;thyroid gland: 11.8,"Adipose visceral - Mesothelial cells, Prostate - Smooth muscle cells"
DOCK4,Tissue enhanced,Detected in many,,brain: 22.6,"Adipose subcutaneous - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Thyroid - Endothelial cells"
DOCK8,Tissue enhanced,Detected in many,,bone marrow: 37.4;lymphoid tissue: 60.3,Thyroid - T-cells
DOHH,Tissue enhanced,Detected in many,,brain: 36.5,
DOK2,Tissue enhanced,Detected in many,,lung: 24.8;lymphoid tissue: 40.0,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Liver - Kupffer cells, Pancreas - Macrophages, Skeletal muscle - Macrophages"
DOK3,Tissue enhanced,Detected in many,,bone marrow: 92.6;lymphoid tissue: 115.6,"Adipose subcutaneous - Macrophages, Breast - Macrophages, Kidney - Macrophages, Lung - Neutrophil_2, Stomach - Macrophages, Thyroid - Macrophages"
DOK5,Tissue enhanced,Detected in many,,skeletal muscle: 44.4;tongue: 23.4,"Lung - Fibroblast_2, Prostate - Fibroblasts, Skeletal muscle - Skeletal myocytes, Skin - Endothelial cells"
DOK6,Tissue enhanced,Detected in many,,brain: 17.7;parathyroid gland: 12.1;retina: 21.6,"Kidney - Proximal tubular cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"
DOK7,Tissue enhanced,Detected in many,,heart muscle: 40.5;skeletal muscle: 28.5,
DOT1L,Tissue enhanced,Detected in all,,testis: 63.1,Testis - Early spermatids
DPCD,Tissue enhanced,Detected in all,,choroid plexus: 146.0;testis: 128.7,"Adipose subcutaneous - Adipose progenitor cells, Liver - Vascular Endothelial cells, Lung - Respiratory ciliated cells, Skin - Outer root sheath cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
DPEP1,Group enriched,Detected in many,8,intestine: 376.5;kidney: 253.3;pancreas: 490.7,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Stomach - Gastric enteroendocrine cells"
DPEP2,Tissue enhanced,Detected in many,,bone marrow: 23.0;lymphoid tissue: 27.9,
DPEP2NB,Tissue enriched,Detected in single,5,testis: 3.9,"Testis - Early spermatids, Testis - Late spermatids"
DPEP3,Tissue enriched,Detected in some,23,testis: 45.7,Testis - Spermatocytes
DPF1,Tissue enriched,Detected in some,13,brain: 33.4,
DPF3,Tissue enhanced,Detected in some,,brain: 5.2;heart muscle: 2.5;retina: 5.0;skeletal muscle: 3.4,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Early spermatids, Testis - Late spermatids"
DPP10,Group enriched,Detected in some,4,adrenal gland: 10.4;brain: 21.0;pancreas: 16.7,"Adipose visceral - Mesothelial cells, Skin - Outer root sheath cells"
DPP4,Tissue enhanced,Detected in many,,intestine: 134.2;parathyroid gland: 151.0;placenta: 129.7;prostate: 103.7,"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Fibroblast_2, Testis - Early spermatids"
DPP6,Tissue enhanced,Detected in many,,brain: 59.0;endometrium 1: 56.2,"Adipose visceral - Mesothelial cells, Kidney - Podocytes, Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Sertoli cells"
DPPA2,Tissue enriched,Detected in single,9,testis: 3.2,Testis - Spermatogonia
DPPA3,Tissue enhanced,Detected in some,,fallopian tube: 1.1;ovary: 3.1;testis: 1.0,
DPPA4,Tissue enhanced,Detected in some,,bone marrow: 4.7;lymphoid tissue: 12.1;testis: 4.1,"Liver - Hepatocytes, Testis - Spermatogonia"
DPPA5,Tissue enhanced,Detected in single,,testis: 2.0,
DPRX,Tissue enhanced,Detected in some,,placenta: 1.1;skeletal muscle: 1.0,
DPT,Tissue enhanced,Detected in many,,intestine: 410.5,"Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts, Thyroid - Fibroblasts"
DPY19L2,Tissue enhanced,Detected in many,,testis: 81.0,"Heart muscle - Cardiomyocytes, Skin - Endothelial cells, Testis - Early spermatids"
DPYD,Tissue enhanced,Detected in all,,liver: 66.4,"Kidney - Fibroblasts, Liver - Hepatocytes, Liver - Hepatocytes, Prostate - Fibroblasts, Skin - Endothelial cells, Thyroid - Fibroblasts"
DPYS,Group enriched,Detected in some,39,kidney: 192.1;liver: 463.1,"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"
DPYSL2,Tissue enhanced,Detected in all,,brain: 242.5,"Adipose visceral - Adipose progenitor cells, Prostate - Fibroblasts"
DPYSL4,Tissue enhanced,Detected in many,,brain: 33.8;heart muscle: 32.6,Heart muscle - Cardiomyocytes
DPYSL5,Tissue enriched,Detected in some,8,brain: 127.6,"Colon - Colon enteroendocrine cells, Testis - Late spermatids"
DQX1,Tissue enriched,Detected in some,5,intestine: 15.9,"Colon - Colon enterocytes, Prostate - Urothelial cells, Skin - Keratinocyte (other), Stomach - Gastric mucous cells"
DRAM1,Tissue enhanced,Detected in all,,lung: 91.1,Lung - Alveolar cells type 2
DRAXIN,Tissue enhanced,Detected in single,,brain: 1.1,Colon - Colon enteroendocrine cells
DRC1,Group enriched,Detected in some,6,choroid plexus: 23.7;fallopian tube: 38.0;testis: 20.2,"Colon - Enteric glia cells, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DRC3,Tissue enhanced,Detected in many,,choroid plexus: 25.8;fallopian tube: 59.2,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
DRC7,Group enriched,Detected in some,11,choroid plexus: 12.0;fallopian tube: 20.4;testis: 44.7,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DRD1,Group enriched,Detected in some,16,brain: 25.9;retina: 8.2,
DRD2,Group enriched,Detected in many,5,brain: 65.2;pituitary gland: 58.0,"Testis - Early spermatids, Testis - Late spermatids"
DRD3,Tissue enriched,Detected in single,5,brain: 3.2,Testis - Late spermatids
DRD5,Group enriched,Detected in some,5,brain: 2.6;lymphoid tissue: 1.3;stomach 1: 4.3,
DRG1,Tissue enhanced,Detected in all,,testis: 155.6,"Testis - Early spermatids, Thyroid - Thyroid glandular cells"
DRGX,Group enriched,Detected in some,9,adrenal gland: 5.2;brain: 2.1,
DRICH1,Tissue enhanced,Detected in many,,epididymis: 16.5;testis: 45.1,Testis - Late spermatids
DRP2,Tissue enhanced,Detected in some,,brain: 12.8;lymphoid tissue: 4.6,
DSC1,Tissue enriched,Detected in some,8,skin 1: 222.8,"Breast - Breast myoepithelial cells, Heart muscle - Cardiomyocytes, Skin - Keratinocyte (other)"
DSC2,Tissue enhanced,Detected in many,,esophagus: 165.7;vagina: 94.4,"Prostate - Prostate glandular cells, Skin - Outer root sheath cells, Stomach - Gastric mucous cells"
DSC3,Group enriched,Detected in many,5,esophagus: 96.0;skin 1: 362.7,"Adipose visceral - Mesothelial cells, Skin - Keratinocyte (other)"
DSCAM,Group enriched,Detected in some,6,brain: 7.1;pituitary gland: 4.0;retina: 1.8,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Skin - Sebaceous gland cells, Testis - Spermatocytes"
DSCAML1,Tissue enhanced,Detected in many,,brain: 10.3;retina: 19.5,"Adipose visceral - Mesothelial cells, Prostate - Fibroblasts"
DSCC1,Tissue enhanced,Detected in many,,lymphoid tissue: 9.6,Testis - Spermatogonia
DSG1,Tissue enriched,Detected in some,18,skin 1: 549.7,"Liver - Hepatocytes, Skin - Keratinocyte (other), Testis - Early spermatids"
DSG2,Tissue enhanced,Detected in many,,parathyroid gland: 152.7,"Lung - Alveolar cells type 2, Skeletal muscle - Endothelial cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
DSG3,Tissue enhanced,Detected in some,,esophagus: 305.1;vagina: 115.5,Prostate - Urothelial cells
DSG4,Tissue enriched,Detected in single,6,skin 1: 2.8,"Testis - Early spermatids, Testis - Late spermatids"
DSP,Tissue enhanced,Detected in many,,esophagus: 447.8;skin 1: 833.1,"Adipose visceral - Mesothelial cells, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Thyroid - Thyroid glandular cells"
DTHD1,Group enriched,Detected in some,6,fallopian tube: 13.3;lung: 3.4;lymphoid tissue: 3.9,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Heart muscle - T-cells, Kidney - T-cells, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DTL,Group enriched,Detected in many,5,bone marrow: 14.4;intestine: 4.6;lymphoid tissue: 13.8;placenta: 3.8;testis: 13.3,"Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"
DTNA,Group enriched,Detected in many,5,brain: 176.6;choroid plexus: 74.1;heart muscle: 144.4;skeletal muscle: 157.4;tongue: 203.2,"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
DTNB,Tissue enhanced,Detected in all,,brain: 27.2;salivary gland: 34.9,"Skin - Eccrine sweat gland cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
DTNBP1,Tissue enhanced,Detected in all,,brain: 90.3;retina: 123.0,
DTX1,Tissue enhanced,Detected in many,,brain: 10.7;lymphoid tissue: 12.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Fibroblasts"
DTX2,Tissue enhanced,Detected in all,,esophagus: 52.5,"Skin - Keratinocyte (other), Testis - Sertoli cells"
DTX4,Tissue enhanced,Detected in all,,brain: 59.2,"Heart muscle - Fibroblasts, Skin - Sebaceous gland cells"
DUOX1,Tissue enhanced,Detected in many,,esophagus: 105.5;skin 1: 101.9,"Colon - Enteric glia cells, Lung - Alveolar cells type 2, Skin - Keratinocyte (other)"
DUOX2,Tissue enhanced,Detected in many,,gallbladder: 280.6;thyroid gland: 73.4;urinary bladder: 89.6,"Prostate - Urothelial cells, Stomach - Gastric mucous cells, Thyroid - Thyroid glandular cells"
DUOXA1,Tissue enhanced,Detected in many,,esophagus: 183.7;thyroid gland: 107.8,"Colon - Enteric glia cells, Heart muscle - Fibroblasts"
DUOXA2,Tissue enhanced,Detected in some,,gallbladder: 61.7;urinary bladder: 40.4,"Stomach - Gastric mucous cells, Thyroid - Thyroid glandular cells"
DUSP10,Tissue enhanced,Detected in many,,liver: 31.9,Testis - Early spermatids
DUSP13,Tissue enhanced,Detected in some,,skeletal muscle: 248.0;testis: 52.0;tongue: 107.1,"Testis - Early spermatids, Testis - Late spermatids"
DUSP14,Tissue enhanced,Detected in many,,skin 1: 42.7,Thyroid - Thyroid glandular cells
DUSP15,Tissue enriched,Detected in many,4,testis: 204.7,"Testis - Early spermatids, Testis - Late spermatids"
DUSP2,Tissue enhanced,Detected in many,,bone marrow: 127.7,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Thyroid - T-cells"
DUSP21,Tissue enriched,Detected in single,41,testis: 10.4,Testis - Late spermatids
DUSP26,Group enriched,Detected in many,4,skeletal muscle: 406.6;tongue: 196.4,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Kidney - Ascending Loop of Henle cells, Pancreas - Alpha cells, Pancreas - Beta cells, Skeletal muscle - Skeletal myocytes"
DUSP29,Tissue enriched,Detected in some,7,skeletal muscle: 100.2,
DUSP3,Tissue enhanced,Detected in all,,skeletal muscle: 252.6,"Colon - Smooth muscle cells, Prostate - Smooth muscle cells"
DUSP4,Tissue enhanced,Detected in many,,pancreas: 31.2;stomach 1: 31.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Endothelial cells"
DUSP5,Tissue enhanced,Detected in all,,urinary bladder: 169.1,Testis - Spermatogonia
DUSP6,Tissue enhanced,Detected in all,,salivary gland: 219.7,Kidney - Endothelial cells
DUSP7,Tissue enhanced,Detected in all,,esophagus: 62.3;skin 1: 63.6,
DUSP8,Tissue enhanced,Detected in many,,brain: 45.1,Testis - Sertoli cells
DUSP9,Group enriched,Detected in some,12,kidney: 55.4;placenta: 70.2,"Kidney - Ascending Loop of Henle cells, Testis - Spermatogonia"
DVL1,Tissue enhanced,Detected in all,,skeletal muscle: 221.7,
DYDC1,Tissue enriched,Detected in some,22,testis: 123.0,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
DYDC2,Group enriched,Detected in some,5,choroid plexus: 26.1;fallopian tube: 94.2,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DYNAP,Tissue enriched,Detected in some,11,esophagus: 28.4,
DYNC1I1,Tissue enhanced,Detected in many,,brain: 64.6,Adipose subcutaneous - Smooth muscle cells
DYNC1LI2,Tissue enhanced,Detected in all,,brain: 260.4,
DYNC2H1,Tissue enhanced,Detected in many,,choroid plexus: 18.5,"Lung - Respiratory ciliated cells, Testis - Spermatocytes"
DYNLRB2,Group enriched,Detected in many,6,choroid plexus: 56.3;fallopian tube: 58.8;testis: 220.8,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
DYNLT2,Tissue enriched,Detected in single,147,testis: 17.7,Testis - Early spermatids
DYNLT4,Group enriched,Detected in many,6,choroid plexus: 23.6;fallopian tube: 9.9,Lung - Respiratory ciliated cells
DYNLT5,Tissue enhanced,Detected in many,,brain: 7.8;choroid plexus: 13.0;fallopian tube: 8.7,"Heart muscle - Endothelial cells, Kidney - Endothelial cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells"
DYRK1B,Tissue enhanced,Detected in all,,skeletal muscle: 126.6;testis: 81.5,"Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"
DYRK3,Tissue enhanced,Detected in many,,testis: 46.5,"Skin - Endothelial cells, Testis - Early spermatids"
DYRK4,Tissue enhanced,Detected in all,,testis: 35.7,"Testis - Early spermatids, Testis - Late spermatids"
DYSF,Tissue enhanced,Detected in all,,bone marrow: 51.6;skeletal muscle: 122.5,"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Breast - Endothelial cells, Kidney - Endothelial cells, Lung - Neutrophil_2, Thyroid - Endothelial cells"
DZIP1,Tissue enhanced,Detected in many,,brain: 26.7,"Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Testis - Early spermatids, Thyroid - Fibroblasts"
E2F1,Tissue enhanced,Detected in many,,bone marrow: 33.9,"Lung - Mitotic cells (Lung), Stomach - Mitotic cells (Stomach)"
E2F2,Group enriched,Detected in some,5,bone marrow: 24.8;esophagus: 8.4;lymphoid tissue: 15.4,"Lung - Mitotic cells (Lung), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Late spermatids"
E2F5,Tissue enhanced,Detected in many,,lymphoid tissue: 28.7,
E2F7,Tissue enhanced,Detected in some,,bone marrow: 4.9;lymphoid tissue: 8.0,"Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Late spermatids, Thyroid - Mitotic cells (Thyroid)"
E2F8,Tissue enhanced,Detected in many,,bone marrow: 14.0;lymphoid tissue: 11.5;skeletal muscle: 12.2,"Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Skeletal muscle - Skeletal myocytes, Skin - Mitotic cells (Skin), Testis - Early spermatids, Thyroid - Mitotic cells (Thyroid)"
EAF1,Tissue enhanced,Detected in all,,bone marrow: 56.4,"Testis - Early spermatids, Testis - Late spermatids"
EAF2,Tissue enhanced,Detected in many,,bone marrow: 70.9;lymphoid tissue: 52.4,"Adipose visceral - Macrophages, Breast - Plasma cells, Kidney - Proximal tubular cells, Prostate - Prostate glandular cells, Testis - Early spermatids"
EBF1,Tissue enhanced,Detected in many,,adipose tissue: 36.4,
EBF2,Tissue enhanced,Detected in many,,adipose tissue: 17.2,"Adipose subcutaneous - Endothelial cells, Breast - Endothelial cells, Heart muscle - Fibroblasts"
EBF3,Tissue enhanced,Detected in many,,adipose tissue: 23.2,"Breast - Endothelial cells, Prostate - Endothelial cells, Skin - Endothelial cells, Testis - Spermatogonia, Thyroid - Fibroblasts"
EBI3,Tissue enriched,Detected in many,4,placenta: 142.7,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Skin - Macrophages, Stomach - Macrophages, Thyroid - Macrophages"
EBLN1,Tissue enriched,Detected in single,14,testis: 2.7,"Testis - Early spermatids, Testis - Late spermatids"
EBLN2,Tissue enriched,Detected in many,4,bone marrow: 15.2,
EBP,Tissue enhanced,Detected in all,,liver: 318.4,"Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Stomach - Gastric mucous cells"
EBPL,Tissue enhanced,Detected in all,,liver: 96.3,"Adipose visceral - Adipose progenitor cells, Liver - Hepatocytes, Liver - Hepatocytes"
ECE2,Tissue enhanced,Detected in some,,brain: 57.7;pancreas: 24.4;pituitary gland: 19.3,"Colon - Colon enteroendocrine cells, Testis - Early spermatids, Testis - Late spermatids"
ECEL1,Group enriched,Detected in many,5,brain: 83.5;ovary: 96.6;pituitary gland: 26.9,
ECH1,Tissue enhanced,Detected in all,,skeletal muscle: 875.0,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells"
ECHDC2,Tissue enhanced,Detected in all,,liver: 170.1,
ECHDC3,Tissue enhanced,Detected in all,,liver: 157.6;skeletal muscle: 123.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Sertoli cells"
ECHS1,Tissue enhanced,Detected in all,,liver: 1093.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
ECI2,Tissue enhanced,Detected in all,,liver: 409.6,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"
ECM1,Tissue enhanced,Detected in many,,epididymis: 472.5;esophagus: 1332.2,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Keratinocyte (granular), Stomach - Fibroblasts, Thyroid - Fibroblasts"
ECM2,Tissue enhanced,Detected in many,,adipose tissue: 119.8;ovary: 113.0,"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Thyroid - Fibroblasts"
ECPAS,Tissue enhanced,Detected in all,,skeletal muscle: 236.3,"Testis - Spermatocytes, Testis - Spermatogonia"
ECRG4,Tissue enhanced,Detected in many,,choroid plexus: 424.3,"Liver - Hepatic stellate cells, Testis - Early spermatids, Testis - Late spermatids"
ECT2L,Tissue enriched,Detected in some,5,fallopian tube: 8.4,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
EDAR,Tissue enhanced,Detected in some,,esophagus: 3.5,"Liver - Hepatocytes, Skin - Eccrine sweat gland cells"
EDARADD,Tissue enhanced,Detected in many,,urinary bladder: 8.4,"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
EDDM13,Tissue enriched,Detected in single,141,epididymis: 96.4,"Prostate - Urothelial cells, Testis - Early spermatids"
EDDM3A,Tissue enriched,Detected in some,18,epididymis: 620.9,
EDDM3B,Tissue enriched,Detected in some,283,epididymis: 2502.0,
EDEM1,Tissue enhanced,Detected in all,,lymphoid tissue: 77.0,"Lung - Alveolar cells type 2, Testis - Spermatogonia"
EDIL3,Tissue enriched,Detected in many,4,brain: 187.8,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Prostate - Fibroblasts"
EDN1,Tissue enhanced,Detected in all,,adipose tissue: 43.1,"Heart muscle - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells"
EDN2,Tissue enhanced,Detected in many,,cervix: 25.4;esophagus: 20.2;vagina: 31.7,
EDN3,Tissue enhanced,Detected in many,,cervix: 51.7;salivary gland: 66.3;vagina: 103.3,"Pancreas - Alpha cells, Pancreas - Beta cells"
EDNRA,Tissue enhanced,Detected in many,,seminal vesicle: 110.0,"Adipose subcutaneous - Smooth muscle cells, Breast - Smooth muscle cells, Liver - Hepatic stellate cells, Thyroid - Fibroblasts"
EDNRB,Tissue enhanced,Detected in many,,placenta: 123.5,"Liver - Hepatic stellate cells, Testis - Endothelial cells"
EEF1A2,Tissue enriched,Detected in many,5,skeletal muscle: 1680.8,"Adipose visceral - Mesothelial cells, Breast - Breast glandular cells, Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes, Stomach - Gastric mucous cells"
EEF2K,Tissue enhanced,Detected in many,,skin 1: 47.4,Skin - Keratinocyte (other)
EEPD1,Tissue enhanced,Detected in all,,skeletal muscle: 45.2,
EFCAB10,Group enriched,Detected in many,6,choroid plexus: 12.4;fallopian tube: 28.7;testis: 22.8,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
EFCAB11,Tissue enhanced,Detected in all,,testis: 35.7,"Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
EFCAB12,Tissue enhanced,Detected in many,,choroid plexus: 10.5;fallopian tube: 19.0,"Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"
EFCAB13,Tissue enhanced,Detected in many,,testis: 19.8,"Testis - Early spermatids, Testis - Late spermatids"
EFCAB14,Tissue enhanced,Detected in all,,parathyroid gland: 154.3,"Testis - Early spermatids, Thyroid - Thyroid glandular cells"
EFCAB3,Tissue enriched,Detected in single,14,testis: 5.8,"Testis - Early spermatids, Testis - Late spermatids"
EFCAB5,Tissue enriched,Detected in some,6,testis: 8.3,Testis - Early spermatids
EFCAB6,Group enriched,Detected in many,5,fallopian tube: 7.4;testis: 23.6,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
EFCAB8,Tissue enriched,Detected in single,9,testis: 3.3,"Testis - Early spermatids, Testis - Late spermatids"
EFCAB9,Tissue enriched,Detected in single,38,testis: 9.7,"Testis - Early spermatids, Testis - Late spermatids"
EFCC1,Tissue enhanced,Detected in many,,lung: 5.4,Liver - Hepatic stellate cells
EFHB,Tissue enhanced,Detected in some,,fallopian tube: 16.5;testis: 15.0,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
EFHC1,Tissue enhanced,Detected in all,,fallopian tube: 33.4,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
EFHC2,Tissue enhanced,Detected in many,,choroid plexus: 27.1;fallopian tube: 14.2,"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
EFHD1,Tissue enhanced,Detected in many,,breast: 168.9;kidney: 153.6,"Breast - Breast glandular cells, Breast - Breast glandular cells, Heart muscle - Smooth muscle cells"
EFNA1,Tissue enhanced,Detected in all,,liver: 461.3,"Heart muscle - Endothelial cells, Lung - Alveolar cells type 1, Testis - Endothelial cells"
EFNA2,Group enriched,Detected in some,6,gallbladder: 3.4;intestine: 12.0;liver: 12.6,Colon - Colon enterocytes
EFNA3,Tissue enhanced,Detected in many,,esophagus: 30.0;skin 1: 99.1,Skin - Keratinocyte (other)
EFNA4,Tissue enhanced,Detected in many,,skin 1: 29.3,
EFNB3,Tissue enhanced,Detected in many,,brain: 41.8,"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells, Liver - Hepatic stellate cells, Lung - Respiratory ciliated cells, Prostate - Prostate basal glandular cells, Testis - Early spermatids, Testis - Late spermatids"
